School Year,Topic,Grade,District,District Name,Proficient,Total,% Proficient,Proficient Category,District Office Location
2017,Reading,7,2682,GMG Comm School District,30,38,78.9,70.1 - 80%,
2017,Reading,6,1965,Easton Valley Comm School District,26,36,72.2,70.1 - 80%,
2016,Reading,3,1093,Central Decatur,12,16,75.0,70.1 - 80%,
2016,Math,4,6921,West Bend-Mallard,19,21,90.5,90.1 - 100%,
2017,Math,7,0819,West Hancock Comm School District,33,43,76.7,70.1 - 80%,
2016,Math,7,6930,West Branch,50,62,80.6,80.1 - 90%,
2016,Reading,6,0441,A-H-S-T,22,35,62.9,60.1 - 70%,
2016,Math,11,0540,BCLUW,40,47,85.1,80.1 - 90%,
2017,Math,7,0918,Calamus-Wheatland Comm School District,22,27,81.5,80.1 - 90%,
2017,Math,3,3600,Le Mars Comm School District,134,159,84.3,80.1 - 90%,
2016,Math,4,2862,Hartley-Melvin-Sanborn,44,51,86.3,80.1 - 90%,
2017,Reading,11,2502,Gladbrook-Reinbeck Comm School District,27,41,65.9,60.1 - 70%,
